drand custom
0.620456 0.230469
0.204988 0.140625
0.957718 0.0195312
0.456715 0.117188
0.435534 0.683594
0.377411 0.96875
0.636939 0.222656
0.82878 0.695312
0.393021 0.636719
0.199238 0.296875
0.308004 0.925781
0.989131 0.773438
0.532935 0.0898438
0.907556 0.125
0.0730133 0.128906
0.298032 0.351562
0.720406 0.0429688
0.265387 0.453125
0.807096 0.832031
0.772629 0.429688
0.450629 0.496094
0.321298 0.28125
0.0814264 0.0351562
0.582031 0.0078125
0.937531 0.449219
0.534187 0.609375
0.148058 0.738281
0.331386 0.0859375
0.684159 0.902344
0.927907 0.4375
0.174888 0.941406
0.948083 0.664062
0.865443 0.855469
0.740858 0.765625
0.427224 0.644531
0.262096 0.742188
0.119747 0.308594
0.314751 0.59375
0.359196 0.847656
0.0581969 0.320312
0.296291 0.261719
0.365959 0.921875
0.0382008 0.550781
0.338443 0.398438
0.470888 0.714844
0.95954 0.75
0.116411 0.753906
0.277734 0.976562
0.080631 0.667969
0.382885 0.078125
0.775859 0.457031
0.282854 0.0546875
0.37523 0.121094
0.131585 0.90625
0.00178683 0.660156
0.216175 0.632812
0.902906 0.0742188
0.578581 0.234375
0.929791 0.363281
0.149887 0.710938
0.384525 0.527344
0.818673 0.0625
0.31606 0.566406
0.546408 0.289062
0.851456 0.480469
0.1494 0.390625
0.799989 0.269531
0.977549 0.367188
0.179126 0.933594
0.667151 0.21875
0.171096 0.472656
0.00150116 0.945312
0.316172 0.886719
0.290646 0.546875
0.377078 0.175781
0.605975 0.0234375
0.343351 0.339844
0.955005 0.375
0.27963 0.378906
0.331709 0.601562
0.579907 0.292969
0.796184 0.703125
0.895286 0.0820312
0.337335 0.679688
0.949192 0.746094
0.431235 0.53125
0.968758 0.285156
0.919484 0.257812
0.709027 0.699219
0.263624 0.859375
0.588355 0.988281
0.41649 0.335938
0.0132077 0.152344
0.449526 0.6875
0.242037 0.191406
0.696585 0.914062
0.993986 0.105469
0.360891 0.015625
0.256969 0.894531
0.148832 0.992188
0.615092 0.558594
0.200195 0.84375
0.196506 0.0976562
0.984872 0.570312
0.242567 0.511719
0.751654 0.171875
0.190799 0.800781
0.839911 0.648438
0.0962748 0.964844
0.0016473 0
0.738624 0.00390625
0.891215 0.226562
0.686437 0.917969
0.699882 0.328125
0.57912 0.707031
0.64086 0.304688
0.293063 0.371094
0.550998 0.15625
0.337062 0.910156
0.92694 0.882812
0.125926 0.324219
0.077948 0.484375
0.791015 0.613281
0.814303 0.960938
0.201195 0.777344
0.753308 0.3125
0.500512 0.816406
0.593539 0.539062
0.208457 0.730469
0.488002 0.640625
0.809478 0.519531
0.897338 0.617188
0.817326 0.183594
0.249805 0.46875
0.775071 0.722656
0.778932 0.195312
0.412776 0.136719
0.472984 0.796875
0.663343 0.425781
0.731338 0.273438
0.157844 0.589844
0.0477108 0.625
0.318507 0.628906
0.942318 0.851562
0.394193 0.542969
0.341466 0.953125
0.916748 0.332031
0.352772 0.929688
0.616537 0.996094
0.717777 0.78125
0.527618 0.535156
0.230729 0.507812
0.83525 0.949219
0.959628 0.109375
0.147928 0.238281
0.294843 0.585938
0.890029 0.402344
0.470344 0.9375
0.770112 0.441406
0.866654 0.164062
0.841781 0.355469
0.974017 0.265625
0.877455 0.144531
0.936726 0.242188
0.673542 0.808594
0.0467296 0.09375
0.00386878 0.347656
0.373683 0.820312
0.226056 0.761719
0.320355 0.421875
0.590607 0.0507812
0.155295 0.898438
0.20938 0.214844
0.769954 0.25
0.954164 0.253906
0.465857 0.476562
0.726732 0.167969
0.546492 0.578125
0.339367 0.957031
0.683684 0.554688
0.556736 0.621094
0.287328 0.40625
0.563338 0.160156
0.716502 0.132812
0.329575 0.574219
0.431713 0.734375
0.906634 0.863281
0.261658 0.210938
0.143732 0.0273438
0.50711 0.5625
0.627636 0.0664062
0.443572 0.789062
0.373433 0.980469
0.619971 0.890625
0.668529 0.769531
0.874715 0.867188
0.761289 0.433594
0.982446 0.71875
0.892352 0.972656
0.601095 0.445312
0.0527068 0.386719
0.501191 0.046875
0.100278 0.675781
0.121973 0.523438
0.663275 0.839844
0.528029 0.875
0.389128 0.878906
0.850077 0.101562
0.260542 0.792969
0.372665 0.203125
0.336935 0.582031
0.027342 0.179688
0.848533 0.246094
0.168366 0.03125
0.468204 0.785156
0.397293 0.757812
0.456266 0.199219
0.991657 0.359375
0.322323 0.488281
0.41411 0.835938
0.917749 0.652344
0.611314 0.1875
0.803582 0.691406
0.636648 0.414062
0.386069 0.605469
0.990679 0.515625
0.857859 0.394531
0.300023 0.492188
0.121787 0.0585938
0.316468 0.34375
0.630561 0.597656
0.105346 0.0703125
0.0376921 0.0117188
0.268502 0.671875
0.297501 0.300781
0.638076 0.148438
0.347964 0.464844
0.88526 0.5
0.612749 0.503906
0.77591 0.726562
0.167916 0.417969
0.392834 0.828125
0.725901 0.207031
0.12765 0.804688
0.826899 0.871094
0.938068 0.65625
0.0296293 0.410156
0.245094 0.382812
0.105862 0.824219
0.254665 0.984375
0.20389 0.113281
0.751309 0.460938
0.284937 0.277344
0.863384 0.8125
0.425948 0.316406
0.952065 0.0390625
0.305661 0.230469
0.699681 0.140625
0.0687509 0.0195312
0.154471 0.117188
0.115791 0.683594
0.825055 0.96875
0.470629 0.222656
0.160733 0.695312
0.298789 0.636719
0.628685 0.296875
0.336314 0.925781
