x	P_4(x)	FD	CD	ED
-0.909091 0.26401 1.26405 0.41543 0.375657
-0.818182 -0.174783 0.96957 0.30965 0.273854
-0.727273 -0.384511 0.698195 0.224155 0.192337
-0.636364 -0.426132 0.452177 0.156691 0.12885
-0.545455 -0.353434 0.23377 0.105006 0.081142
-0.454545 -0.213032 0.0452277 0.0668435 0.0469572
-0.363636 -0.0443703 0.111196 0.0399512 0.0240421
-0.272727 0.120279 0.233247 0.0220746 0.0101427
-0.181818 0.255814 0.318672 0.0109598 0.00300526
-0.0909091 0.344307 0.365216 0.00435293 0.000375657
2.498e-16 0.375 0.370625 2.08167e-16 9.48316e-16
0.0909091 0.344307 0.332646 0.00435293 0.000375657
0.181818 0.255814 0.249025 0.0109598 0.00300526
0.272727 0.120279 0.117507 0.0220746 0.0101427
0.363636 -0.0443703 0.0641609 0.0399512 0.0240421
0.454545 -0.213032 0.298233 0.0668435 0.0469572
0.545455 -0.353434 0.586963 0.105006 0.081142
0.636364 -0.426132 0.932606 0.156691 0.12885
0.727273 -0.384511 1.33741 0.224155 0.192337
0.818182 -0.174783 1.80364 0.30965 0.273854
0.909091 0.26401 2.33354 0.41543 0.375657
