r V Enum Etheory
0.01 5.625 -0 0
0.163462 5.625 -0 0
0.316923 5.625 -0 0
0.470385 5.625 -0 0
0.623846 5.625 -0 0
0.777308 5.625 -0 0
0.930769 4.83471 27.9101 5.19432
1.08423 4.15041 17.6561 3.82797
1.23769 3.6358 11.8687 2.93756
1.39115 3.23472 8.35803 2.32521
1.54462 2.91335 6.10604 1.88613
1.69808 2.65006 4.5956 1.56062
1.85154 2.43041 3.54496 1.31264
2.005 2.24439 2.79166 1.1194
2.15846 2.08482 2.23753 0.965882
2.31192 1.94643 1.82087 0.84191
2.46538 1.82527 1.50156 0.74036
2.61885 1.71831 1.25275 0.656134
2.77231 1.6232 1.05602 0.585504
2.92577 1.53806 0.898407 0.525693
3.07923 1.4614 0.770665 0.4746
3.23269 1.39203 0.666037 0.43061
3.38615 1.32894 0.579523 0.392463
3.53962 1.27132 0.507366 0.35917
3.69308 1.2185 0.446708 0.329941
3.84654 1.16988 0.395347 0.304139
