n x1 fx1
0 4.4 -1.303676219
1 4.535980617 1.073759713
2 4.50185963 0.1776872054
3 4.493745376 0.006793198978
4 4.49340999 1.074353958e-05
5 4.493409458 2.69535505e-11
n x2 fx2
0 7.6 -3.747734305
1 7.852543577 687.5297732
2 7.851121758 341.8134876
3 7.848326089 168.9674033
4 7.842921519 82.56836473
5 7.832820426 39.41640606
6 7.815164617 17.93379208
7 7.788115514 7.372235105
8 7.756039479 2.421400433
9 7.732662439 0.4695768045
10 7.725682658 0.02579850371
11 7.725253295 8.700050751e-05
12 7.725251837 9.961729219e-10
