n, x1, fx1
0, 4.4, -1.303676219
1, 4.531341043, 0.9315763898
2, 4.501885887, 0.1782622613
3, 4.494145177, 0.014906426
4, 4.493446644, 0.0007509395086
5, 4.493411215, 3.548668757e-05
6, 4.493409541, 1.671336614e-06
7, 4.493409462, 7.870333985e-08
8, 4.493409458, 3.706118079e-09
n, x2, fx2
0, 7.6, -3.747734305
1, 7.842177303, 76.86856035
2, 7.840540063, 66.55104643
3, 7.837461309, 52.68852899
4, 7.831785405, 37.21351263
5, 7.821709505, 23.15402206
6, 7.805059133, 12.61912287
7, 7.780999437, 5.896636326
8, 7.753811808, 2.195822045
9, 7.733858453, 0.5508497555
10, 7.726506874, 0.07564564793
11, 7.72536267, 0.006620212923
12, 7.725260631, 0.0005248768663
13, 7.725252528, 4.122547602e-05
14, 7.725251891, 3.235550777e-06
