Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.43      0.21     0.21   767953     0.00     0.00  xstneu_ (ggm04.f:3)
 20.41      0.41     0.20   589400     0.00     0.00  ttracrz_ (talls01.f:19407)
  5.10      0.46     0.05  1630890     0.00     0.00  getxs_ (ggm04.f:1946)
  4.08      0.50     0.04   493401     0.00     0.00  fmfac_ (talls01.f:27646)
  4.08      0.54     0.04   149354     0.00     0.00  talls01_ (talls00.f:3)
  4.08      0.58     0.04   147350     0.00     0.00  tdepstrz_ (talls06.f:16708)
  4.08      0.62     0.04   139343     0.00     0.00  heatn_ (ggm04.f:1508)
  3.06      0.65     0.03   287709     0.00     0.00  aimp_ (celimp.f:3148)
  3.06      0.68     0.03   137944     0.00     0.00  nreac_ (nreac.f:3)
  3.06      0.71     0.03        1    30.00   950.00  ovly12_ (ovly12.f:3)
  2.04      0.73     0.02  1801820     0.00     0.00  rang_xorshift64_ (randmc.f:339)
  2.04      0.75     0.02   493401     0.00     0.00  setitrmin_ (itrminmax.f:2)
  2.04      0.77     0.02   147509     0.00     0.00  analyz_ (analyz.f:3)
  2.04      0.79     0.02   145348     0.00     0.00  getflt_ (getflt.f:3)
  2.04      0.81     0.02   145348     0.00     0.00  parfre_ (partrs.f:1155)
  2.04      0.83     0.02   137500     0.00     0.00  sctneu_ (ggm05.f:4)
  2.04      0.85     0.02   126370     0.00     0.00  xstsab_ (ggm05.f:4293)
  2.04      0.87     0.02     1470     0.01     0.01  chars5_ (a-wtext.f:4680)
  1.02      0.88     0.01   986802     0.00     0.00  getcrs_ (ggm04.f:1690)
  1.02      0.89     0.01   775828     0.00     0.00  fltrn_ (utlnmtc.f:127)
  1.02      0.90     0.01   294411     0.00     0.00  tregck_ (tallsm1.f:4356)
  1.02      0.91     0.01   284151     0.00     0.00  idcyc_ (getflt.f:1611)
  1.02      0.92     0.01   145348     0.00     0.00  dcyfl_ (getflt.f:1551)
  1.02      0.93     0.01   145348     0.00     0.00  partrs_ (partrs.f:3)
  1.02      0.94     0.01   137944     0.00     0.00  dataup_ (dataup.f:3)
  1.02      0.95     0.01    11989     0.00     0.00  acecos_ (ggm05.f:3395)
  1.02      0.96     0.01      315     0.03     0.03  chcomp_ (utl03.f:1113)
  1.02      0.97     0.01        1    10.00    10.00  igamma1set_ (gamma1.f:43)
  1.02      0.98     0.01                             tdis01_ (sors.f:3743)
  0.00      0.98     0.00  1801820     0.00     0.00  rang_ (randmc.f:210)
  0.00      0.98     0.00  1154136     0.00     0.00  trnsxx_ (ggs03.f:675)
  0.00      0.98     0.00   846484     0.00     0.00  cputime_ (utl01.f:3)
  0.00      0.98     0.00   775828     0.00     0.00  unirn_ (utlnmtc.f:115)
  0.00      0.98     0.00   761703     0.00     0.00  ibryf_ (utl02.f:90)
  0.00      0.98     0.00   746770     0.00     0.00  __talmod_MOD_get_tr_head_pointer (talmod.f:22)
  0.00      0.98     0.00   726740     0.00     0.00  pcheck_ (tallsm1.f:4124)
  0.00      0.98     0.00   589400     0.00     0.00  readitrminmax7_ (itrminmax.f:169)
  0.00      0.98     0.00   493401     0.00     0.00  setitrmax_ (itrminmax.f:18)
  0.00      0.98     0.00   167223     0.00     0.00  setitrminmax_ (itrminmax.f:34)
  0.00      0.98     0.00   149929     0.00     0.00  dtcos_ (ggs01.f:5312)
  0.00      0.98     0.00   147350     0.00     0.00  readitrminmax5_ (itrminmax.f:113)
  0.00      0.98     0.00   147348     0.00     0.00  fsurf_ (ggs01.f:270)
  0.00      0.98     0.00   147348     0.00     0.00  ggmdis_ (ggs02.f:804)
  0.00      0.98     0.00   147348     0.00     0.00  ggmsor_ (ggs02.f:3)
  0.00      0.98     0.00   147348     0.00     0.00  gomdis_ (geocntl.f:138)
  0.00      0.98     0.00   147348     0.00     0.00  gomsor_ (geocntl.f:3)
  0.00      0.98     0.00   145348     0.00     0.00  celimp_ (celimp.f:1162)
  0.00      0.98     0.00   145348     0.00     0.00  fclsta_ (celimp.f:1793)
  0.00      0.98     0.00   145348     0.00     0.00  splitng_ (celimp.f:3)
  0.00      0.98     0.00   145348     0.00     0.00  timtrs_ (partrs.f:4434)
  0.00      0.98     0.00   145348     0.00     0.00  update_ (update.f:3)
  0.00      0.98     0.00   145348     0.00     0.00  wtcutof_ (celimp.f:1431)
  0.00      0.98     0.00   145348     0.00     0.00  wwindw_ (celimp.f:349)
  0.00      0.98     0.00   144489     0.00     0.00  exprnf_ (utlnmtc.f:198)
  0.00      0.98     0.00   137944     0.00     0.00  gomupr_ (geocntl.f:231)
  0.00      0.98     0.00   137944     0.00     0.00  pseudpr_ (getflt.f:1649)
  0.00      0.98     0.00   137944     0.00     0.00  rcldol_ (ovly12.f:2012)
  0.00      0.98     0.00   137942     0.00     0.00  gomupp_ (geocntl.f:348)
